AUC,Accuracy,Business Score
0.6800659340659341,0.8980662225705329,252.2
0.6925421245421244,0.9174510188087774,255.0
0.655978021978022,0.9174510188087774,253.2
0.6602940868655155,0.8780427115987461,242.4
0.6779466248037676,0.9049471003134796,248.2
0.679700680272109,0.8974451410658307,252.4
0.6781302982731554,0.8986951410658307,252.0
0.6810470957613816,0.9174510188087774,256.8
0.6836677132391419,0.8974451410658307,254.2
0.6947514390371534,0.9180760188087774,254.8
0.6656473050758765,0.905566222570533,251.6
0.6620952380952382,0.8761637931034482,243.0
0.6766310832025118,0.9174510188087774,255.0
0.6742600732600733,0.9199529780564262,254.2
0.6561140763997907,0.8792946708463949,242.0
0.6703055991627421,0.9168240595611286,255.2
0.6677414965986395,0.9149490595611285,255.8
0.6804573521716379,0.9143260188087774,254.2
0.6588058608058608,0.8799216300940438,241.8
0.6696609105180534,0.9199529780564262,254.2
0.6636038723181581,0.9193260188087773,254.4
0.6722501308215594,0.8936794670846396,246.4
0.6529733124018838,0.879292711598746,242.0
0.6681967556253271,0.9155760188087774,252.0
0.6570266875981161,0.9162029780564265,253.6
0.6636200941915228,0.9199510188087775,254.2
0.6639309262166405,0.9136990595611285,252.6
0.6767132391418106,0.9193260188087773,254.4
0.6797059131344845,0.8993201410658307,251.8
0.6831627420198847,0.9168240595611286,255.2
